item_name,pic,price,real_sales,procity,item_id,item_url,style,applicable_age,fabric,season
清仓捡漏专柜撤回大牌外贸剪标<span class=H>女装</span>撞色羊毛衫毛衣宽松针织打底衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2807343016/O1CN01hXkC8l1Y9NQIhwVZ6_!!2807343016.jpg,15.00,33人付款,浙江 杭州,744063884453,https://item.taobao.com/item.htm?id=744063884453&ns=1&abbucket=0#detail,,,其他,2023年秋季
鄂尔多斯市专柜撤柜剪标<span class=H>女装</span>秋冬高端羊绒衫圆领加厚宽松打底毛衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/371677564/O1CN01mRJgoK25kMjK7amJg_!!371677564.jpg,399.00,100+人付款,浙江 嘉兴,744742307803,https://item.taobao.com/item.htm?id=744742307803&ns=1&abbucket=0#detail,通勤,18-24周岁,其他/other,2023年秋季
品牌折扣店商场专柜撤柜剪标<span class=H>女装</span>尾货绞花毛衣女春秋针织开衫外套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2212854300188/O1CN01ndnpK61DG9Lq9OMwm_!!2212854300188.jpg,20.00,37人付款,广东 广州,744580449587,https://item.taobao.com/item.htm?id=744580449587&ns=1&abbucket=0#detail,,18-24周岁,,春秋
法式设计感双拉链白色POLO领长袖衬衫女秋季小众内搭衬衣打底上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2170746564/O1CN01nCtlBk1yMMXthLbO3_!!2170746564.jpg,36.00,6000+人付款,广东 广州,680921830333,https://item.taobao.com/item.htm?id=680921830333&ns=1&abbucket=0#detail,通勤,18-24周岁,,2023年秋季
清仓捡漏一线品牌专柜商场撤回剪标<span class=H>女装</span>秋冬慵懒加厚短款毛衣外套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2212854300188/O1CN017tw9h21DG9LloxOZA_!!2212854300188.jpg,20.00,54人付款,广东 广州,744670158398,https://item.taobao.com/item.htm?id=744670158398&ns=1&abbucket=0#detail,,,,春秋
品牌折扣意大利剪标余单捡漏外单V领加厚长袖羊绒衫宽松打底毛衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2207758238822/O1CN01rYckW82F2WyBk7EAe_!!2207758238822.jpg,10.00,200+人付款,广东 广州,739106034744,https://item.taobao.com/item.htm?id=739106034744&ns=1&abbucket=0#detail,,,,春秋
高领显瘦针织衫上衣套头长袖纯色打底内搭新款2023爆款毛衣女秋冬,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2432518790/O1CN01Gq2Ksv2EnsINzmkYi_!!2432518790.jpg,59.90,1000+人付款,广东 广州,738520897948,https://item.taobao.com/item.htm?id=738520897948&ns=1&abbucket=0#detail,通勤,25-29周岁,其他/other,秋冬
大码加绒加厚打底衫女秋冬胖mm修身显瘦长袖针织衫v领内搭上衣女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/373790674/O1CN01jWH3vW1Gqjpk9mFqv_!!373790674.jpg,42.00,1000+人付款,广东 广州,741862806729,https://item.taobao.com/item.htm?id=741862806729&ns=1&abbucket=0#detail,通勤,18-24周岁,其他,2023年冬季
清仓捡漏~专柜撤回大牌剪标针织上衣外贸<span class=H>女装</span>羊绒衫打底拼色毛衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2212273210687/O1CN013syEzR1GwgylF4vY3_!!2212273210687.jpg,23.00,200+人付款,浙江 杭州,741301941091,https://item.taobao.com/item.htm?id=741301941091&ns=1&abbucket=0#detail,,,其他,2023年秋季
韩系假两件拼接v领针织衫毛衣女秋冬内搭修身长袖黑色打底衫上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1633889075/O1CN01kQa4Bz2GuPBFaCxca_!!1633889075.jpg,40.00,600+人付款,广东 广州,740820462891,https://item.taobao.com/item.htm?id=740820462891&ns=1&abbucket=0#detail,通勤,18-24周岁,聚酯纤维,2023年秋季
